features,levels,decision,supportRHS,accuracyRHS,Therotical_Accuracy,cuts,cut1,cut2,cut3,cut4,Combinatorial_gain
"USP31,X00000056965","1,2",Prot,6,1,0.230817304687688,"value<cut,cut<value<cut",0.1021,-3.4341,-2.02892,,-0.769182695312312
"X00000037843,X00000060253","1,3",Prot,6,0.90179,0.416732486785345,"value<cut,value>cut",2.47585,2.05002,,,-0.485057513214655
"TARM1,KRTAP29.1","3,2",NonProt,6,0.85714,0.0952380952380952,"value>cut,cut<value<cut",1.98717,-4.991,-0.15133,,-0.761901904761905
"FABP5,SDK2","3,2",NonProt,6,1,0.847457627118644,"value>cut,cut<value<cut",2.46235,-0.99625,0.6044,,-0.152542372881356
"LOC715623,ZNF576","1,1",NonProt,6,0.85714,0.27681660899654,"value<cut,value<cut",-1.77283,3.741,,,-0.58032339100346
"TARM1,LOC702786","3,2",NonProt,6,0.90476,0.0873362445414847,"value>cut,cut<value<cut",2.01607,-4.92873,-0.1852,,-0.817423755458515
"LOC715623,LAMC1","1,3",NonProt,6,0.86225,0.36241610738255,"value<cut,value>cut",-1.74316,1.76459,,,-0.49983389261745
"LOC709056,X00000056965","1,1",NonProt,6,0.97143,0.812807881773399,"value<cut,value<cut",-0.40306,-3.4341,,,-0.158622118226601
"LOC715623,X00000064369","1,1",NonProt,6,1,0.539083557951483,"value<cut,value<cut",-1.80267,2.6045,,,-0.460916442048518
"X00000037843,THRB","3,3",NonProt,6,0.85714,0.219178082191781,"value>cut,value>cut",2.96835,-3.1655,,,-0.637961917808219
"LOC719667,ZNF576","3,1",NonProt,6,0.88571,0.512820512820513,"value>cut,value<cut",4.9671,3.745,,,-0.372889487179487
"F2RL3,USP31","3,3",NonProt,6,0.91071,0.747663551401869,"value>cut,value>cut",-1.7442,0.68083,,,-0.163046448598131
"TMX2,SDK2","1,2",NonProt,6,1,0.336244541484716,"value<cut,cut<value<cut",2.857,-0.8912,0.7789,,-0.663755458515284
"X00000060146,HEY1","1,1",Prot,6,0.90476,0.487872537164806,"value<cut,value<cut",-4.8295,-2.0012,,,-0.416887462835195
"LOC709056,HEY1","2,1",Prot,6,0.85714,0.121701946450434,"cut<value<cut,value<cut",-0.4036,0.8126,-2.02,,-0.735438053549566
"X00000037843,TNNT2","1,1",Prot,6,1,0.0362413412308001,"value<cut,value<cut",2.47224,-2.41846,,,-0.9637586587692
"FABP5,DLK1","1,1",Prot,6,1,0.757147588033999,"value<cut,value<cut",1.99613,-1.9323,,,-0.242852411966001
X00000058729,3,Prot,10,0.90909,0.247091033538672,value>cut,-2.5992,,,,-0.661998966461328
