features	levels	decision	cuts	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	stabilityLHS	stabilityRHS	cut1	cut2	cut3	cut4	supportRatioLHS	supportRatioRHS	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	cut5
LOC709056,TARM1	2,1	Prot	cut<value<cut,value<cut	6	6	1	0.17143	0.32456	1	1	-0.3932	0.7149	1.32055		0.3	0.3	1	Inf	1	-Inf:Inf	
LOC709056,X00000059995	2,2	Prot	cut<value<cut,cut<value<cut	6	6	1	0.17143	0.32946	1	1	-0.39185	0.73128	-0.3738	0.6832	0.3	0.3	1	Inf	1	-Inf:Inf	
X00000053012,LOC715623	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	2.5668	2.8731	-0.4805		0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,LAMC1	1,2	Prot	value<cut,cut<value<cut	6	6	1	0.18286	0.35645	1	1	0.66238	0.91446	1.81226		0.3	0.3	1	Inf	1	-Inf:Inf	
ESR1,X00000059995	3,2	Prot	value>cut,cut<value<cut	6	6	1	0.18571	0.36244	1	1	1.04935	-0.3738	0.6956		0.3	0.3	1	Inf	1	-Inf:Inf	
TARM1,ESR1	1,3	Prot	value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	1.2466	1.041			0.3	0.3	1	Inf	1	-Inf:Inf	
RBM46,ESR1	3,3	Prot	value>cut,value>cut	6	6	1	0.17143	0.33333	1	1	-1.2248	1.041			0.3	0.3	1	Inf	1	-Inf:Inf	
STARD8,ESR1	2,3	Prot	cut<value<cut,value>cut	6	6	1	0.17143	0.33333	1	1	0.6779	1.4296	1.041		0.3	0.3	1	Inf	1	-Inf:Inf	
TNNT2,X00000053012	3,1	NonProt	value>cut,value<cut	6	6	1	0.18042	0.37123	1	1	-0.62828	2.57208			0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000053012,A1BG	1,1	NonProt	value<cut,value<cut	6	6	1	0.17143	0.34314	1	1	2.54525	-1.9115			0.31579	0.31579	1	Inf	1	-Inf:Inf	
X00000053012,DLK1	1,3	NonProt	value<cut,value>cut	6	6	1	0.18492	0.38644	1	1	2.58763	-0.0507			0.31579	0.31579	1	Inf	1	-Inf:Inf	
VSTM1,LOC702786	3,2	NonProt	value>cut,cut<value<cut	7	7	1	0.20444	0.42933	1	1	5.1719	-4.97242	-1.40936		0.36842	0.36842	1	Inf	1	-Inf:Inf	
TNNT2,HCN2	3,3	NonProt	value>cut,value>cut	6	6	1	0.17857	0.35703	1	1	-0.52218	-2.15013			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TMEM38A,X00000053012	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.34314	1	1	3.238	2.5698			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,STARD8	3,3	NonProt	value>cut,value>cut	6	6	1	0.17143	0.36397	1	1	-0.7514	1.4621			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TMEM38A,DLK1	3,3	NonProt	value>cut,value>cut	6	6	1	0.17143	0.35294	1	1	3.2525	-0.1047			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,TARM1	3,3	NonProt	value>cut,value>cut	6	6	1	0.17048	0.34951	1	1	-0.58866	1.98636			0.31579	0.31579	1	Inf	1	-Inf:Inf	
TNNT2,RBM46	3,1	NonProt	value>cut,value<cut	6	6	1	0.17143	0.33987	1	1	-0.50797	-2.52207			0.31579	0.31579	1	Inf	1	-Inf:Inf	
