features	levels	decision	supportLHS	supportRHS	accuracyRHS	coverageLHS	coverageRHS	cuts	cut1	cut2	cut3	pValue	riskRatio	pValueRiskRatio	confIntRiskRatio	supportSetLHS	supportSetRHS	cut4	stabilityLHS	stabilityRHS	supportRatioLHS	supportRatioRHS	cut5
X00000053012,MYH15	3,1	Prot	7	6	0.87723	0.20288	0.34398	value>cut,value<cut	2.87128	-2.34529		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000064715,SDK2	3,3	Prot	7	6	0.85714	0.2	0.33333	value>cut,value>cut	1.789	0.5862		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
TMX2,SDK2	3,3	Prot	6	6	1	0.17619	0.33819	value>cut,value>cut	3.2404	0.6295		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
TARM1,X00000060146	1,2	Prot	6	6	1	0.16984	0.32876	value<cut,cut<value<cut	1.2874	-4.831	-3.06483	1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
X00000053012,SDK2	1,1	NonProt	7	6	0.88393	0.20476	0.36969	value<cut,value<cut	2.57417	-0.90132		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
TARM1,HCN2	3,3	NonProt	7	6	0.88571	0.19317	0.34951	value>cut,value>cut	1.98636	-2.1643		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000053012,ZNF576	1,1	NonProt	7	6	0.8648	0.21134	0.37611	value<cut,value<cut	2.57304	3.74386		1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
X00000053274,ZNF576	1,1	NonProt	8	7	0.89236	0.23135	0.42759	value<cut,value<cut	-0.3492	3.7435		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
KRTAP29.1,ZNF576	2,1	NonProt	7	6	0.86071	0.20571	0.36127	cut<value<cut,value<cut	-4.9835	-1.8781	3.7426	1	6.31578947368421	1	0.836:47.694				1	1	0.36842	0.31579	
LTC4S,LAMC1	2,3	NonProt	6	6	1	0.17143	0.34559	cut<value<cut,value>cut	-0.44584	0.62852	1.7817	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
KIR3DL0,KRTAP29.1	1,2	NonProt	6	6	1	0.18095	0.36649	value<cut,cut<value<cut	2.82625	-4.99008	-2.28808	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC702786,A1BG	2,1	NonProt	6	6	1	0.17143	0.34314	cut<value<cut,value<cut	-4.92775	-1.59345	-1.9115	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC701920,HCN2	1,3	NonProt	6	6	1	0.17143	0.34641	value<cut,value>cut	5.2565	-2.1035		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
LOC709056,ZNF576	1,1	NonProt	8	7	0.98611	0.21359	0.43495	value<cut,value<cut	-0.41563	3.742		1	7.36842105263158	1	0.998:54.391				1	1	0.42105	0.36842	
ZNF576,X00000058427	1,3	NonProt	6	6	1	0.17798	0.36586	value<cut,value>cut	3.75013	1.82162		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000053012,A1BG	1,1	NonProt	6	6	0.92857	0.18571	0.35294	value<cut,value<cut	2.59025	-2.0635		1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
X00000064715,ZNF576	2,1	NonProt	6	6	1	0.17143	0.34314	cut<value<cut,value<cut	-0.0597	1.8108	3.745	1	Inf	1	-Inf:Inf				1	1	0.31579	0.31579	
TMX2,HEY1	3,1	Prot	6	6	1	0.17024	0.32061	value>cut,value<cut	3.24	-2.03627		1	Inf	1	-Inf:Inf				1	1	0.3	0.3	
CFAP70,X00000059995	1,2	Prot	7	6	0.85714	0.2	0.34314	value<cut,cut<value<cut	0.014	-0.3484	0.6956	1	5.7	1	0.755:43.043				1	1	0.35	0.3	
X00000053274,MYH15	3,1	Prot	7	6	0.86161	0.20575	0.34951	value>cut,value<cut	1.48962	-2.3669		1	5.7	1	0.755:43.043				1	1	0.35	0.3	
A1BG,X00000059995	2,2	Prot	7	6	0.85714	0.2	0.33333	cut<value<cut,cut<value<cut	-1.9115	-1.4371	-0.2925	1	5.7	1	0.755:43.043			0.6708	1	1	0.35	0.3	
LOC709056,LILRB1	2,1	Prot	7	6	0.89286	0.2	0.35191	cut<value<cut,value<cut	-0.4101	0.6988	7.2935	1	5.7	1	0.755:43.043				1	1	0.35	0.3	
