Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
G444_O07_ABL3_35896_D133;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;D133;female;;D7 of boost;
G518_O07_ABL3_35896_D455;ABL3_A;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;35896;PreChal (D455);female;;PreChallenge;
G001_O07_ABL3_28299_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;D0;female;;baseline;
G029_O07_ABL3_28299_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;D3;female;;D3 of prime;
G057_O07_ABL3_28299_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;D7;female;;D7 of prime;
G223_O07_ABL3_28299_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;D126;female;;D0 of boost;
G251_O07_ABL3_28299_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;D129;female;;D3 of boost;
G279_O07_ABL3_28299_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;D133;female;;D7 of boost;
G445_O07_ABL3_28299_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;28299;PreChal (D455);female;;PreChallenge;
G002_O07_ABL3_30277_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;D0;female;;baseline;
G030_O07_ABL3_30277_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;D3;female;;D3 of prime;
G058_O07_ABL3_30277_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;D7;female;;D7 of prime;
G224_O07_ABL3_30277_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;D126;female;;D0 of boost;
G252_O07_ABL3_30277_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;D129;female;;D3 of boost;
G280_O07_ABL3_30277_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;D133;female;;D7 of boost;
G446_O07_ABL3_30277_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30277;PreChal (D455);female;;PreChallenge;
G003_O07_ABL3_30306_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;D0;female;;baseline;
G031_O07_ABL3_30306_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;D3;female;;D3 of prime;
G059_O07_ABL3_30306_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;D7;female;;D7 of prime;
G225_O07_ABL3_30306_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;D126;female;;D0 of boost;
G253_O07_ABL3_30306_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;D129;female;;D3 of boost;
G281_O07_ABL3_30306_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;D133;female;;D7 of boost;
G447_O07_ABL3_30306_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30306;PreChal (D455);female;;PreChallenge;
G004_O07_ABL3_30310_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;D0;female;;baseline;
G032_O07_ABL3_30310_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;D3;female;;D3 of prime;
G060_O07_ABL3_30310_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;D7;female;;D7 of prime;
G226_O07_ABL3_30310_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;D126;female;;D0 of boost;
G254_O07_ABL3_30310_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;D129;female;;D3 of boost;
G282_O07_ABL3_30310_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;D133;female;;D7 of boost;
G448_O07_ABL3_30310_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30310;PreChal (D455);female;;PreChallenge;
G005_O07_ABL3_30386_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;D0;female;;baseline;
G033_O07_ABL3_30386_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;D3;female;;D3 of prime;
G061_O07_ABL3_30386_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;D7;female;;D7 of prime;
G227_O07_ABL3_30386_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;D126;female;;D0 of boost;
G255_O07_ABL3_30386_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;D129;female;;D3 of boost;
G283_O07_ABL3_30386_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;D133;female;;D7 of boost;
G449_O07_ABL3_30386_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;30386;PreChal (D455);female;;PreChallenge;
G006_O07_ABL3_30438_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;D0;female;;baseline;
G034_O07_ABL3_30438_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;D3;female;;D3 of prime;
G062_O07_ABL3_30438_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;D7;female;;D7 of prime;
G228_O07_ABL3_30438_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;D126;female;;D0 of boost;
G256_O07_ABL3_30438_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;D129;female;;D3 of boost;
G284_O07_ABL3_30438_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;D133;female;;D7 of boost;
G450_O07_ABL3_30438_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;30438;PreChal (D455);female;;PreChallenge;
G007_O07_ABL3_31374_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;D0;female;;baseline;
G035_O07_ABL3_31374_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;D3;female;;D3 of prime;
G063_O07_ABL3_31374_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;D7;female;;D7 of prime;
G229_O07_ABL3_31374_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;D126;female;;D0 of boost;
G257_O07_ABL3_31374_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;D129;female;;D3 of boost;
G285_O07_ABL3_31374_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;D133;female;;D7 of boost;
G451_O07_ABL3_31374_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;31374;PreChal (D455);female;;PreChallenge;
G015_O07_ABL3_32543_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;D0;female;;baseline;
G043_O07_ABL3_32543_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;D3;female;;D3 of prime;
G071_O07_ABL3_32543_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;D7;female;;D7 of prime;
G237_O07_ABL3_32543_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;D126;female;;D0 of boost;
G265_O07_ABL3_32543_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;D129;female;;D3 of boost;
G293_O07_ABL3_32543_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;D133;female;;D7 of boost;
G459_O07_ABL3_32543_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32543;PreChal (D455);female;;PreChallenge;
G016_O07_ABL3_32569_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;D0;female;;baseline;
G044_O07_ABL3_32569_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;D3;female;;D3 of prime;
G072_O07_ABL3_32569_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;D7;female;;D7 of prime;
G238_O07_ABL3_32569_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;D126;female;;D0 of boost;
G266_O07_ABL3_32569_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;D129;female;;D3 of boost;
G294_O07_ABL3_32569_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;D133;female;;D7 of boost;
G460_O07_ABL3_32569_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;32569;PreChal (D455);female;;PreChallenge;
G017_O07_ABL3_32574_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;D0;female;;baseline;
G045_O07_ABL3_32574_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;D3;female;;D3 of prime;
G073_O07_ABL3_32574_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;D7;female;;D7 of prime;
G239_O07_ABL3_32574_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;D126;female;;D0 of boost;
G267_O07_ABL3_32574_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;D129;female;;D3 of boost;
G295_O07_ABL3_32574_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;D133;female;;D7 of boost;
G461_O07_ABL3_32574_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;32574;PreChal (D455);female;;PreChallenge;
G018_O07_ABL3_33514_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;D0;female;;baseline;
G046_O07_ABL3_33514_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;D3;female;;D3 of prime;
G074_O07_ABL3_33514_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;D7;female;;D7 of prime;
G240_O07_ABL3_33514_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;D126;female;;D0 of boost;
G268_O07_ABL3_33514_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;D129;female;;D3 of boost;
G296_O07_ABL3_33514_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;D133;female;;D7 of boost;
G462_O07_ABL3_33514_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;33514;PreChal (D455);female;;PreChallenge;
G019_O07_ABL3_33530_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;D0;female;;baseline;
G047_O07_ABL3_33530_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;D3;female;;D3 of prime;
G075_O07_ABL3_33530_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;D7;female;;D7 of prime;
G241_O07_ABL3_33530_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;D126;female;;D0 of boost;
G269_O07_ABL3_33530_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;D129;female;;D3 of boost;
G297_O07_ABL3_33530_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;D133;female;;D7 of boost;
G463_O07_ABL3_33530_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;33530;PreChal (D455);female;;PreChallenge;
G020_O07_ABL3_35907_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35907;D0;female;;baseline;
G048_O07_ABL3_35907_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35907;D3;female;;D3 of prime;
G076_O07_ABL3_35907_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35907;D7;female;;D7 of prime;
G242_O07_ABL3_35907_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35907;D126;female;;D0 of boost;
G298_O07_ABL3_35907_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35907;D133;female;;D7 of boost;
G464_O07_ABL3_35907_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35907;PreChal (D455);female;;PreChallenge;
G021_O07_ABL3_35908_D0;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;D0;female;;baseline;
G049_O07_ABL3_35908_D3;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;D3;female;;D3 of prime;
G077_O07_ABL3_35908_D7;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;D7;female;;D7 of prime;
G243_O07_ABL3_35908_D126;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;D126;female;;D0 of boost;
G271_O07_ABL3_35908_D129;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;D129;female;;D3 of boost;
G299_O07_ABL3_35908_D133;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;D133;female;;D7 of boost;
G465_O07_ABL3_35908_D455;ABL3_B;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol;RhCMVpos;SubQ;NonProt;35908;PreChal (D455);female;;PreChallenge;
G008_O07_ABL3_26712_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;D0;female;;baseline;
G036_O07_ABL3_26712_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;D3;female;;D3 of prime;
G064_O07_ABL3_26712_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;D7;female;;D7 of prime;
G230_O07_ABL3_26712_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;D126;female;;D0 of boost;
G258_O07_ABL3_26712_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;D129;female;;D3 of boost;
G286_O07_ABL3_26712_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;D133;female;;D7 of boost;
G452_O07_ABL3_26712_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;26712;PreChal (D455);female;;PreChallenge;
G009_O07_ABL3_27769_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;D0;female;;baseline;
G037_O07_ABL3_27769_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;D3;female;;D3 of prime;
G065_O07_ABL3_27769_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;D7;female;;D7 of prime;
G231_O07_ABL3_27769_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;D126;female;;D0 of boost;
G259_O07_ABL3_27769_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;D129;female;;D3 of boost;
G287_O07_ABL3_27769_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;D133;female;;D7 of boost;
G453_O07_ABL3_27769_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;27769;PreChal (D455);female;;PreChallenge;
G010_O07_ABL3_31644_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;D0;female;;baseline;
G038_O07_ABL3_31644_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;D3;female;;D3 of prime;
G066_O07_ABL3_31644_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;D7;female;;D7 of prime;
G232_O07_ABL3_31644_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;D126;female;;D0 of boost;
G260_O07_ABL3_31644_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;D129;female;;D3 of boost;
G288_O07_ABL3_31644_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;D133;female;;D7 of boost;
G454_O07_ABL3_31644_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31644;PreChal (D455);female;;PreChallenge;
G011_O07_ABL3_31654_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;D0;female;;baseline;
G039_O07_ABL3_31654_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;D3;female;;D3 of prime;
G067_O07_ABL3_31654_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;D7;female;;D7 of prime;
G233_O07_ABL3_31654_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;D126;female;;D0 of boost;
G261_O07_ABL3_31654_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;D129;female;;D3 of boost;
G289_O07_ABL3_31654_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;D133;female;;D7 of boost;
G455_O07_ABL3_31654_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;31654;PreChal (D455);female;;PreChallenge;
G012_O07_ABL3_31893_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;D0;female;;baseline;
G040_O07_ABL3_31893_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;D3;female;;D3 of prime;
G068_O07_ABL3_31893_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;D7;female;;D7 of prime;
G234_O07_ABL3_31893_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;D126;female;;D0 of boost;
G262_O07_ABL3_31893_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;D129;female;;D3 of boost;
G290_O07_ABL3_31893_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;D133;female;;D7 of boost;
G456_O07_ABL3_31893_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;31893;PreChal (D455);female;;PreChallenge;
G013_O07_ABL3_32240_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;D0;female;;baseline;
G041_O07_ABL3_32240_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;D3;female;;D3 of prime;
G069_O07_ABL3_32240_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;D7;female;;D7 of prime;
G235_O07_ABL3_32240_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;D126;female;;D0 of boost;
G263_O07_ABL3_32240_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;D129;female;;D3 of boost;
G291_O07_ABL3_32240_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;D133;female;;D7 of boost;
G457_O07_ABL3_32240_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32240;PreChal (D455);female;;PreChallenge;
G014_O07_ABL3_32290_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;D0;female;;baseline;
G042_O07_ABL3_32290_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;D3;female;;D3 of prime;
G070_O07_ABL3_32290_D7;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;D7;female;;D7 of prime;
G236_O07_ABL3_32290_D126;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;D126;female;;D0 of boost;
G264_O07_ABL3_32290_D129;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;D129;female;;D3 of boost;
G292_O07_ABL3_32290_D133;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;D133;female;;D7 of boost;
G458_O07_ABL3_32290_D455;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;NonProt;32290;PreChal (D455);female;;PreChallenge;
G022_O07_ABL3_32319_D0;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;32319;D0;female;;baseline;
G050_O07_ABL3_32319_D3;ABL3_C;RhCMV 68-1 Rh156,108 miR126 Gag/RTN/Pol-ST;RhCMVpos;SubQ;Prot;32319;D3;female;;D3 of prime;
