Sample ID;Group;Vaccine Description;RhCMV Status;vaccine route of inoculation;protectionStatus;AnimalID;Time_Point;Sex;Age;Study Event;PAXgene Sample Collection Date
S3_29208_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;D0;male;3,82;baseline;2014-03-19
S3_29208_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;D3;male;3,83;D3 of prime;2014-03-22
S3_29208_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;D7;male;3,82;D7 of prime;2014-03-26
S3_29208_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;D126;male;4,17;D0 of boost;2014-07-23
S3_29208_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;D129;male;4,17;D3 of boost;2014-07-26
S3_29208_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;D133;male;4,17;D7 of boost;2014-07-30
S3_29208_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29208;PreChal (W88);male;;PreChallenge;
S4_29211_W0_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;D0;male;3,96;baseline;2014-03-19
S4_29211_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;D3;male;3,97;D3 of prime;2014-03-22
S4_29211_W0_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;D7;male;3,96;D7 of prime;2014-03-26
S4_29211_W18_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;D126;male;4,31;D0 of boost;2014-07-23
S4_29211_W18_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;D129;male;4,31;D3 of boost;2014-07-26
S4_29211_W18_D7;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;D133;male;4,31;D7 of boost;2014-07-30
S4_29211_W88_D0;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29211;PreChal (W88);male;;PreChallenge;
S5_29299_W0_D3;S;RhCMV/SIV 68-1 Gag/RTN/Pol;RhCMVpos;SubQ;Prot;29299;D3;male;4,04;D3 of prime;2014-03-22
