sdev
3.280087	2.477028	2.226363	2.154337	1.944398	1.820606	1.649679	1.635254	1.618507	1.528395	1.485132	1.459401	1.390759	1.358349	1.281187	1.231252	1.202068	1.122364	1.07228	1.041993	1.023981	0.9846217	0.9458475	0.9071275	0.8535037	0.8152883	0.7601281	0.7266713	0.672848	0.6519189	0.5929997	0.5796433	0.5070407	0.447462	0.4233622	0.4093997	0.3785491	0.3184207	7.171018e-15	
rotation
   	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	
SDK2	0.0672	-0.0485	-0.1809	-0.1167	0.2157	0.0575	0.0871	-0.0064	0.0111	-0.0635	-0.08	-0.1429	-0.0719	-0.2516	0.0469	-0.1577	0.1161	-0.2128	0.0853	0.2368	0.1948	-0.0061	0.0499	-0.0947	0.0916	-0.1224	0.0342	0.0713	0.0773	-0.0711	-0.1639	0.0582	-0.0273	0.3719	0.1884	0.0406	-0.0592	0.1799	-0.0076	
X00000060146	-0.0252	0.1124	-0.1319	-0.0077	-0.2565	-0.0773	-0.1046	0.0457	0.1642	-0.0296	0.0314	-0.2911	-0.0164	-0.1007	-0.0117	-0.0025	0.0181	0.1267	-0.1065	-0.0795	0.0407	0.2432	0.2006	-0.0581	-0.1692	-0.2173	-0.0341	0.2588	-0.0483	0.0931	0.1231	0.0738	-0.1534	0.006	-0.1059	0.0448	-0.093	-0.1461	0.0274	
LTC4S	-0.1885	-0.0665	0.1362	0.0454	0.1812	0.0578	0.1293	0.1794	-0.0119	-0.0506	-0.0358	-0.1382	0.0831	-0.0105	0.0025	0.0501	0.0068	0.1948	-0.0421	-0.0737	0.0262	0.0904	-0.1258	-0.0319	-0.0922	-0.0495	0.2857	0.0442	0.1482	-0.0823	0.0489	-0.0056	0.0708	3e-04	-0.041	0.0186	0.095	-0.1764	0.091	
SMIM2	-0.1443	0.0458	-0.0884	0.1058	-0.0537	0.3151	0.0186	-0.0687	0.1511	-0.0906	0.0942	-0.0164	0.0618	0.0721	0.108	-0.0541	0.0632	-0.114	-0.1033	0.1224	-0.0568	-0.2727	0.0035	0.0125	0.0531	0.0787	-0.075	0.0455	-0.1799	-0.1492	-0.0504	0.0965	-0.0688	0.2328	0.0419	-0.0488	0.0617	-0.103	-0.0188	
X00000064369	0.0784	-0.2184	0.2147	0.0168	-0.0688	0.0785	-0.0566	0.1507	0.0067	-0.1587	0.0981	-0.0488	0.0662	0.1033	-0.0153	-0.0555	0.0082	0.1054	0.1136	0.1882	0.0936	0.0978	0.0347	-0.1336	0.0147	0.0314	-0.3164	-0.114	0.0418	0.0127	0.0531	0.1103	0.013	0.0168	-0.1528	-0.0768	0.142	-0.1998	-0.0572	
X00000060253	0.0982	0.1699	0.0992	-0.0617	0.0212	0.0463	0.0801	0.0411	0.1044	-0.0927	-0.1792	0.0605	-0.2484	0.0969	-0.1459	-0.0789	0.0987	0.2549	0.0218	0.2651	-0.1605	0.079	-0.0579	0.0922	0.0661	0.1085	-0.0995	0.2468	-0.0516	0.1766	0.0338	0.2048	0.246	0.0692	0.0818	-0.064	0.0486	0.1082	-0.0586	
LAMC1	-0.0962	0.1623	-0.0991	-0.1195	-0.1091	-0.1633	0.1989	-0.0653	0.0663	0.0409	0.2712	-0.0627	0.0238	-0.0332	0.0675	0.0846	-0.0116	0.0483	-0.1024	-0.1225	-0.1583	0.0639	0.257	-0.0113	0.0274	0.131	0.0132	-0.035	0.0469	0.0173	0.1347	-0.1104	0.0991	0.2544	-0.0356	-0.0591	0.0665	0.131	0.1171	
ZNF576	0.1078	-0.2495	-0.0422	-0.0022	0.1148	-0.044	-0.0635	-0.0991	-0.0548	-0.1564	-0.0074	-0.1566	0.2506	0.135	-0.0168	0.0715	0.0806	4e-04	0.0798	0.0513	0.0246	-0.1072	-0.1213	0.0975	-0.0724	0.0625	-0.0694	0.0453	0.1106	-0.0035	0.1371	0.0992	0.278	0.1249	-0.1525	0.1471	-0.0861	-0.0207	-0.3296	
HEY1	-0.1144	-0.0025	-0.09	-0.1337	-0.1483	-0.2606	0.1024	0.1807	0.0982	0.1312	0.1077	0.0695	0.1034	-0.0026	0.1385	-0.0752	0.129	-0.0526	-0.0761	0.1784	0.0571	0.0918	0.1241	0.0368	-0.0548	0.084	-0.0329	-0.146	0.0421	-0.0898	-0.0689	0.0696	0.2609	-0.1743	-0.057	-0.0396	-0.0588	0.183	-0.0929	
X00000058729	0.1107	-0.0816	0.0654	-0.0798	-0.113	0.0659	-0.1018	-0.0056	-0.213	0.0242	0.0344	-0.009	-0.0067	0.2488	-0.2461	0.0295	-0.0758	-0.258	-0.2654	0.0401	0.1864	0.0978	-0.1083	0.2949	-0.145	-0.0156	0.0329	-0.044	0.0111	0.1926	-0.063	-0.0485	-0.0772	0.0058	0.1537	-0.0558	-0.1417	0.0792	0.1619	
